universe,ptm,radius,n_proteins,n_sites,mean_observed_close_pair_fraction,mean_null_close_pair_fraction,mean_effect,fold_of_equal_protein_means,population_ci_low,population_ci_high,population_t_p_greater,population_log10_p_greater,exact_selection_null_se,exact_selection_z,exact_selection_p_greater,exact_selection_log10_p_greater,weighting,global_bh_q_population,global_bh_q_exact_null,primary_holm_p_population,primary_holm_p_exact_null
all_eligible_residues,acetylation,30,4106,33739,0.2589474175074232,0.15233740785185126,0.10661000965557195,1.699828171943497,0.09997140422296404,0.11324861508817986,2.1773611277368248e-195,-194.66206953477305,0.0019316171556515217,55.192101262743805,0.0,-663.608095068098,equal_protein,1.0451333413136758e-194,0.0,,
all_eligible_residues,oglcnac,30,1057,9283,0.4278855677537885,0.09664112465166345,0.3312444431021251,4.4275723124712565,0.3132402395711677,0.34924864663308247,7.644436576188434e-187,-186.11665451821364,0.003672065337279814,90.20657659307984,0.0,-1769.3306564176717,equal_protein,3.0577746304753736e-186,0.0,,
all_eligible_residues,phospho,30,12404,177045,0.2641367715094962,0.1355735312350774,0.12856324027441876,1.9482915957355784,0.12514153525468674,0.13198494529415078,0.0,-inf,0.000956705692933047,134.38118036098692,0.0,-3923.8378287904407,equal_protein,0.0,0.0,,
all_eligible_residues,ubiquitination,30,5613,57754,0.2390357389133388,0.16162375185475622,0.07741198705858256,1.4789641755634353,0.07265732822407231,0.0821666458930928,7.157474992545899e-206,-205.14524016068228,0.0015468282008682039,50.04562692555822,0.0,-545.9579598362188,equal_protein,4.907982852031473e-205,0.0,,
observed_residue_union,acetylation,5,2966,25938,0.0602664539376847,0.036416143572856205,0.023850310364828473,1.6549378386844342,0.020728250216520236,0.02697237051313671,2.980528817165913e-49,-48.52570667484922,0.0010793769619680004,22.096367816988433,1.712689881768725e-108,-107.7663212679915,equal_protein,3.974038422887884e-49,2.2835865090249665e-108,,
observed_residue_union,oglcnac,5,1041,9220,0.2070680270219412,0.044578495925229916,0.16248953109671121,4.6450204908045745,0.149981363673846,0.17499769851957642,4.82912621008976e-112,-111.31613144408624,0.002572409647323755,63.166273406632435,0.0,-868.6124189896677,equal_protein,8.278502074439589e-112,0.0,,
observed_residue_union,phospho,5,2647,66985,0.059927972657664585,0.05064602538656096,0.009281947271103602,1.183270991163832,0.007489514046627417,0.011074380495579787,4.3086869558770486e-24,-23.36565505807544,0.0007904007162843063,11.743343698799098,3.820238718898575e-32,-31.417909498067054,equal_protein,5.170424347052459e-24,4.3659871073126576e-32,,
observed_residue_union,ubiquitination,5,3194,37873,0.03851666796425822,0.0345247602706745,0.003991907693583711,1.1156244869562344,0.002151247178725629,0.005832568208441792,1.0884748711374279e-05,-4.9631815927619085,0.0008874026063072357,4.4984178153310905,3.423052585817152e-06,-5.465586429066973,equal_protein,1.0884748711374279e-05,3.4230525858171523e-06,,
observed_residue_union,acetylation,10,2966,25938,0.11583254899974235,0.07413493621805842,0.04169761278168391,1.5624556370971407,0.03736492203023091,0.046030303533136904,2.1226609961669332e-75,-74.6731193601675,0.0014730852646981868,28.306313138110934,1.4448811294141935e-176,-175.8401678809095,equal_protein,3.286700897290735e-75,2.2372352971574608e-176,,
observed_residue_union,oglcnac,10,1041,9220,0.3045496553826502,0.07615215743261547,0.2283974979500347,3.999225572199135,0.21338402755840788,0.2434109683416615,3.1491864945442657e-142,-141.50180161972125,0.003258675010258246,70.08906909435393,0.0,-1068.9757870784388,equal_protein,6.0464380695249904e-142,0.0,,
