kinase,cluster_mean_percentile,control_mean_percentile,delta,family,n_pairs
MTOR,33.62113619631899,33.70890552147238,-0.08776932515338842,PIKK,4075
LOK,60.8812024539877,60.954198773006155,-0.07299631901845771,STE,4075
YSK1,66.92352883435585,66.90533251533736,0.01819631901848595,STE,4075
TSSK2,55.7934355828222,55.76006380368102,0.03337177914117717,CAMK,4075
CDC7,38.41646871165641,38.34978895705516,0.06667975460124609,Other,4075
AURC,45.92015950920257,45.83469693251533,0.08546257668724166,Other,4075
PKCI,53.74889815950927,53.662930061349606,0.08596809815966111,AGC,4075
CLK4,29.69150184049077,29.58429693251534,0.10720490797542936,CMGC,4075
P70S6K,50.10537423312872,49.96373006134955,0.14164417177916988,AGC,4075
CLK3,33.62804662576686,33.44077546012266,0.18727116564420498,CMGC,4075
SGK1,43.17164662576687,42.98237546012272,0.18927116564415059,AGC,4075
IRE1,60.460154601226954,60.266348466257526,0.193806134969428,Other,4075
MEK2,67.36870429447862,67.15523926380358,0.21346503067503875,STE,4075
PKCE,51.30648098159505,51.07045153374235,0.23602944785270097,AGC,4075
NEK4,70.38715828220866,70.09660368098169,0.2905546012269724,Other,4075
CDK15,35.47007361963188,35.15550184049089,0.31457177914099077,CMGC,4075
NEK1,72.0802429447855,71.76243435582809,0.31780858895740494,Other,4075
LRRK2,60.479644171779114,60.134471165644214,0.34517300613489965,TKL,4075
ROCK1,57.62677546012261,57.263398773005974,0.3633766871166344,AGC,4075
PHKG1,53.62805889570552,53.25508466257669,0.37297423312882927,CAMK,4075
BIKE,59.109099386503054,58.685673619631906,0.42342576687114786,Other,4075
ATR,40.313874846625765,39.880586503067526,0.43328834355823886,PIKK,4075
TTBK2,59.94153374233137,59.499104294478535,0.4424294478528381,CK1,4075
MAPKAPK5,49.49495214723931,49.02995828220848,0.4649938650308272,CAMK,4075
IRAK1,66.23431411042954,65.75190184049114,0.4824122699383935,TKL,4075
KHS1,61.8582282208589,61.34917055214727,0.5090576687116268,STE,4075
MRCKB,52.35984785276064,51.84597546012267,0.513872392637964,AGC,4075
WNK3,54.01512392638025,53.47414478527599,0.540979141104259,Other,4075
QIK,53.49299877300604,52.92985766871183,0.5631411042942105,CAMK,4075
DMPK1,52.54466012269956,51.977332515337395,0.5673276073621665,AGC,4075
BRSK2,52.68827730061344,52.11621104294469,0.5720662576687516,CAMK,4075
MNK2,45.85911901840487,45.286596319018486,0.5725226993863828,CAMK,4075
CDKL1,36.653825766871044,36.06050061349702,0.5933251533740247,CMGC,4075
